"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"259","Bonilla Island","North Coast",2019-09-16,2019,9,31.7,13.1,53.4928,-130.636,1,1
"260","Bonilla Island","North Coast",2019-09-17,2019,9,31.7,13.2,53.4928,-130.636,1,1
"261","Bonilla Island","North Coast",2019-09-18,2019,9,31.6,13.1,53.4928,-130.636,1,1
"262","Bonilla Island","North Coast",2019-09-19,2019,9,31.4,13.7,53.4928,-130.636,1,1
"263","Bonilla Island","North Coast",2019-09-20,2019,9,31.7,13.1,53.4928,-130.636,1,1
"264","Bonilla Island","North Coast",2019-09-21,2019,9,31.6,13.6,53.4928,-130.636,1,1
"265","Bonilla Island","North Coast",2019-09-22,2019,9,32.6,13.5,53.4928,-130.636,1,1
"266","Bonilla Island","North Coast",2019-09-23,2019,9,31.5,12.8,53.4928,-130.636,1,1
"267","Bonilla Island","North Coast",2019-09-24,2019,9,31.7,13.7,53.4928,-130.636,1,1
"268","Bonilla Island","North Coast",2019-09-25,2019,9,31.8,13.3,53.4928,-130.636,1,1
"269","Bonilla Island","North Coast",2019-09-26,2019,9,31.6,13.2,53.4928,-130.636,1,1
"270","Bonilla Island","North Coast",2019-09-27,2019,9,31.5,13.3,53.4928,-130.636,1,1
"271","Bonilla Island","North Coast",2019-09-28,2019,9,31.1,12.2,53.4928,-130.636,1,1
"272","Bonilla Island","North Coast",2019-09-29,2019,9,32.3,11.9,53.4928,-130.636,1,1
"273","Bonilla Island","North Coast",2019-09-30,2019,9,32,11.8,53.4928,-130.636,1,1
"274","Bonilla Island","North Coast",2019-10-01,2019,10,32.1,12.1,53.4928,-130.636,1,1
